fid,hex_id,tipo,zona,estado,chl_count,chl_sum,chl_mean,chl_min,chl_max
156,HEX0000156,Oceano,Marina,Baja California,6,0.552841521799564,0.0921402536332607,0.0912269800901413,0.0926910936832428
157,HEX0000157,Oceano,Marina,Baja California,4,0.370794959366322,0.0926987398415804,0.091238409280777,0.0940767154097557
158,HEX0000158,Oceano,Marina,Baja California,5,0.459910750389099,0.0919821500778198,0.0895891711115837,0.0940353721380234
159,HEX0000159,Oceano,Marina,Baja California,6,0.568219780921936,0.0947032968203227,0.0912931188941002,0.0975402742624283
160,HEX0000160,Oceano,Marina,Baja California,4,0.366427071392536,0.091606767848134,0.0909971073269844,0.092322550714016
161,HEX0000161,Oceano,Marina,Baja California,5,0.468221955001354,0.0936443910002708,0.0931484177708626,0.0945688113570213
162,HEX0000162,Oceano,Marina,Baja California,6,0.577466398477554,0.096244399746259,0.0952862799167633,0.0981746390461922
163,HEX0000163,Oceano,Marina,Baja California,4,0.364907145500183,0.0912267863750458,0.0901345759630203,0.0933823361992836
164,HEX0000164,Oceano,Marina,Baja California,4,0.355221815407276,0.088805453851819,0.0880774334073067,0.0896668061614037
165,HEX0000165,Oceano,Marina,Baja California,6,0.557581774890423,0.0929302958150705,0.0917526409029961,0.0953132063150406
166,HEX0000166,Oceano,Marina,Baja California,4,0.37664894759655,0.0941622368991375,0.0930858999490738,0.0952022895216942
167,HEX0000167,Oceano,Marina,Baja California,4,0.399698331952095,0.0999245829880238,0.0980105027556419,0.101806029677391
168,HEX0000168,Oceano,Marina,Baja California,6,0.632204383611679,0.105367397268613,0.103107765316963,0.108005434274673
169,HEX0000169,Oceano,Marina,Baja California,5,0.551623694598675,0.110324738919735,0.107735335826874,0.112435966730118
170,HEX0000170,Oceano,Marina,Baja California,4,0.332941569387913,0.0832353923469782,0.0824588462710381,0.0839924588799477
171,HEX0000171,Oceano,Marina,Baja California,5,0.413529627025127,0.0827059254050255,0.0816574096679688,0.084091879427433
172,HEX0000172,Oceano,Marina,Baja California,4,0.337331347167492,0.084332836791873,0.0822173953056335,0.0867568850517273
173,HEX0000173,Oceano,Marina,Baja California,4,0.341944947838783,0.0854862369596958,0.0837290734052658,0.0871080905199051
174,HEX0000174,Oceano,Marina,Baja California,6,0.527030289173126,0.0878383815288544,0.0853983089327812,0.0902996212244034
175,HEX0000175,Oceano,Marina,Baja California,4,0.341973766684532,0.085493441671133,0.0847455412149429,0.0870190635323524
176,HEX0000176,Oceano,Marina,Baja California,4,0.354940317571163,0.0887350793927908,0.0881409272551537,0.0891022011637688
177,HEX0000177,Oceano,Marina,Baja California,6,0.543859906494617,0.0906433177491029,0.0895508080720901,0.091393306851387
178,HEX0000178,Oceano,Marina,Baja California,4,0.362798564136028,0.0906996410340071,0.0900555476546288,0.0911784321069717
179,HEX0000179,Oceano,Marina,Baja California,4,0.360612481832504,0.0901531204581261,0.0894549414515495,0.0913359597325325
